Date - Heure;Date;Heure;Code INSEE région;Région;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2022-03-30T13:00:00-04:00;2022-03-30;19:00;93;Provence-Alpes-Côte d'Azur;4982;Définitif;;;4982;4961;Consolidé;9943
2022-03-30T14:30:00-04:00;2022-03-30;20:30;93;Provence-Alpes-Côte d'Azur;;;;;;5051;Consolidé;
2022-03-30T16:30:00-04:00;2022-03-30;22:30;93;Provence-Alpes-Côte d'Azur;;;;;;4577;Consolidé;
2022-03-30T23:30:00-04:00;2022-03-31;05:30;93;Provence-Alpes-Côte d'Azur;;;;;;4061;Consolidé;
2022-03-05T06:30:00-04:00;2022-03-05;11:30;93;Provence-Alpes-Côte d'Azur;;;;;;5493;Consolidé;
2022-03-05T09:00:00-04:00;2022-03-05;14:00;93;Provence-Alpes-Côte d'Azur;3704;Définitif;;;3704;5551;Consolidé;9255
2022-03-05T09:30:00-04:00;2022-03-05;14:30;93;Provence-Alpes-Côte d'Azur;;;;;;5519;Consolidé;
2022-03-05T11:30:00-04:00;2022-03-05;16:30;93;Provence-Alpes-Côte d'Azur;;;;;;5068;Consolidé;
2022-03-05T12:30:00-04:00;2022-03-05;17:30;93;Provence-Alpes-Côte d'Azur;;;;;;5082;Consolidé;
2022-03-05T15:00:00-04:00;2022-03-05;20:00;93;Provence-Alpes-Côte d'Azur;4795;Définitif;;;4795;5974;Consolidé;10769
2022-04-19T21:00:00-04:00;2022-04-20;03:00;93;Provence-Alpes-Côte d'Azur;4826;Définitif;;;4826;3433;Consolidé;8259
2022-04-20T02:30:00-04:00;2022-04-20;08:30;93;Provence-Alpes-Côte d'Azur;;;;;;3918;Consolidé;
2022-04-20T04:30:00-04:00;2022-04-20;10:30;93;Provence-Alpes-Côte d'Azur;;;;;;4223;Consolidé;
2022-04-20T05:30:00-04:00;2022-04-20;11:30;93;Provence-Alpes-Côte d'Azur;;;;;;4285;Consolidé;
